instance,parameter_set,generation,mean_best_so_far,std_best_so_far
la01,lower_mutation,80,666.6,2.237609561948674
la01,lower_mutation,81,666.6,2.237609561948674
la01,lower_mutation,82,666.6,2.237609561948674
la01,lower_mutation,83,666.6,2.237609561948674
la01,lower_mutation,84,666.6,2.237609561948674
la01,lower_mutation,85,666.6,2.237609561948674
la01,lower_mutation,86,666.6,2.237609561948674
la01,lower_mutation,87,666.6,2.237609561948674
la01,lower_mutation,88,666.5666666666667,2.238893404823222
la01,lower_mutation,89,666.5666666666667,2.238893404823222
la01,lower_mutation,90,666.5666666666667,2.238893404823222
la01,lower_mutation,91,666.4666666666667,2.1929877797878516
la01,lower_mutation,92,666.4666666666667,2.1929877797878516
la01,lower_mutation,93,666.4666666666667,2.1929877797878516
la01,lower_mutation,94,666.4666666666667,2.1929877797878516
la01,lower_mutation,95,666.4666666666667,2.1929877797878516
la01,lower_mutation,96,666.4666666666667,2.1929877797878516
la01,lower_mutation,97,666.4666666666667,2.1929877797878516
la01,lower_mutation,98,666.4666666666667,2.1929877797878516
la01,lower_mutation,99,666.4666666666667,2.1929877797878516
la01,lower_mutation,100,666.4666666666667,2.1929877797878516
la01,lower_mutation,101,666.4666666666667,2.1929877797878516
la01,lower_mutation,102,666.4666666666667,2.1929877797878516
la01,lower_mutation,103,666.4666666666667,2.1929877797878516
la01,lower_mutation,104,666.4666666666667,2.1929877797878516
la01,lower_mutation,105,666.4666666666667,2.1929877797878516
la01,lower_mutation,106,666.4666666666667,2.1929877797878516
la01,lower_mutation,107,666.4666666666667,2.1929877797878516
la01,lower_mutation,108,666.4666666666667,2.1929877797878516
la01,lower_mutation,109,666.4666666666667,2.1929877797878516
la01,lower_mutation,110,666.4666666666667,2.1929877797878516
la01,lower_mutation,111,666.4666666666667,2.1929877797878516
la01,lower_mutation,112,666.4666666666667,2.1929877797878516
la01,lower_mutation,113,666.4666666666667,2.1929877797878516
la01,lower_mutation,114,666.4666666666667,2.1929877797878516
la01,lower_mutation,115,666.4666666666667,2.1929877797878516
la01,lower_mutation,116,666.4666666666667,2.1929877797878516
la01,lower_mutation,117,666.4666666666667,2.1929877797878516
la01,lower_mutation,118,666.4666666666667,2.1929877797878516
la01,lower_mutation,119,666.2666666666667,1.112106833535071
la01,lower_mutation,120,666.2666666666667,1.112106833535071
la01,lower_mutation,121,666.2666666666667,1.112106833535071
la01,lower_mutation,122,666.2666666666667,1.112106833535071
la01,lower_mutation,123,666.2666666666667,1.112106833535071
la01,lower_mutation,124,666.2666666666667,1.112106833535071
la01,lower_mutation,125,666.2666666666667,1.112106833535071
